Outlet,Kota
044-CK Mall Bali Galeria,Bali
050-CK Beachwalk,Bali
054-CK Icon Sanur Bali,Bali
AX004-AX Icon Sanur Bali,Bali
EA010-EA7 Icon Sanur Bali,Bali
W35-Pedro Beachwalk Bali,Bali
W40-Pedro Icon Sanur Bali,Bali
034-CK Pentacity Balikpapan,Balikpapan
W17-Pedro Pentacity Balikpapan,Balikpapan
BDG003-BDG Paris Van java,Bandung
BDG006-BDG 23 Paskal Bandung,Bandung
BDG007-BDG Summarecon Bandung,Bandung
W26-Pedro 23 Paskal Bandung,Bandung
W27-Pedro Paris Van Java,Bandung
W39-Pedro Summarecon Bandung,Bandung
047-CK Duta Mall2 Banjarmasin,Banjarmasin
W29-Pedro Duta Mall 2 Banjarmasin,Banjarmasin
029-CK Summarecon Mal Bekasi,Bekasi
049-CK Pakuwon Mall Bekasi,Bekasi
PM006-Pomelo Summarecon Mal Bekasi,Bekasi
W14-Pedro Summarecon Mal Bekasi,Bekasi
W41-Pedro Pakuwon Mall Bekasi,Bekasi
001-CK Head Office,Bogor
027-CK Botani Square,Bogor
W07-Pedro Botani Square,Bogor
001-CK Head Office,Depok
045-CK Trans Studio Mall Cibubur,Depok
W31-Pedro Margo City,Depok
001-CK Head Office,Jakarta
004-CK Mall Pondok Indah,Jakarta
010-CK Senayan City,Jakarta
011-CK Grand Indonesia,Jakarta
016-CK Mall Kelapa Gading 3,Jakarta
020-CK Central Park,Jakarta
022-CK Margo City,Jakarta
026-CK Kota Kasablanka,Jakarta
040-CK Lippo Mall Puri,Jakarta
051-CK AEON Mall Sentul City,Jakarta
053-CK Mall of Indonesia,Jakarta
AX002-AX Grand Indonesia,Jakarta
EA001-EA7 Grand Indonesia,Jakarta
EA002-EA7 Mall Pondok Indah,Jakarta
EA005-EA7 Kota Kasablanka,Jakarta
P01-Pedro Senayan City,Jakarta
PM001-Pomelo Kota Kasablanka,Jakarta
PM002-Pomelo Central Park,Jakarta
PM005-Pomelo Grand Indonesia,Jakarta
PM010-Pomelo Mall of Indonesia,Jakarta
PM011-Pomelo Artha Gading,Jakarta
PSPM5-Pomelo Pop Up Store Lippo Mall Nusantara,Jakarta
W02-Pedro Mall Kelapa Gading 3,Jakarta
W08-Pedro Kota Kasablanka,Jakarta
W12-Pedro Grand Indonesia,Jakarta
W22-Pedro Central Park,Jakarta
052-CK Summarecon Villaggio Karawang,Karawang
PSPM3-Pomelo Pop Up Store The Grand Outlet Karawang,Karawang
W36-Pedro Summarecon Villagio Karawang,Karawang
MKS001-MKS Warehouse,Makassar
MKS002-MKS Ratu Indah,Makassar
MKS003-MKS Trans Studio,Makassar
MKS004-MKS Panakukang Mall,Makassar
W33-Pedro Trans Studio Makasar,Makassar
038-CK Manado Town Square,Manado
W20-Pedro Manado Town Square,Manado
028-CK Centre Point Medan,Medan
046-CK Deli Park Medan,Medan
048-CK Sun Plaza Medan,Medan
EA004-EA7 Medan Centre Point,Medan
PM004-Pomelo Deli Park Medan,Medan
W15-Pedro Centre Point Medan,Medan
W28-Pedro Deli Park Medan,Medan
W30-Pedro Sun Plaza Medan,Medan
EA011-EA7 Sun Plaza,Medan
AX003-AX Sun Plaza Medan,Medan
032-CK Palembang Icon,Palembang
W18-Pedro Palembang Icon,Palembang
058-CK Palembang Indah Mall,Palembang
W45-Pedro Palembang Indah Mall,Palembang
042-CK SKA Mall Pekanbaru,Pekanbaru
W25-Pedro SKA Mall Pekanbaru,Pekanbaru
031-CK Big Mall Samarinda,Samarinda
PM008-Pomelo Big Mall Samarinda,Samarinda
W37-Pedro Big Mall Samarinda,Samarinda
SMG002-SMG Paragon,Semarang
SMG004-SMG The Park Semarang,Semarang
W32-Pedro The Park Semarang,Semarang
024-CK Solo Paragon,Solo
W38-Pedro Solo Paragon,Solo
AGA002-AGA Tunjungan,Surabaya
AGA003-AGA Galaxy,Surabaya
AGA006-AGA Pakuwon,Surabaya
W06-Pedro Tunjungan Plaza Surabaya,Surabaya
W24-Pedro Pakuwon Mall Surabaya,Surabaya
014-CK Supermall Karawaci,Tangerang
017-CK Summarecon Mal Serpong,Tangerang
W11-Pedro Summarecon Mal Serpong,Tangerang
037-CK AEON Mall BSD City,Tangerang Selatan
055-CK Jakarta Premium Outlet,Tangerang Selatan
AX006-AX Jakarta Premium Outlet,Tangerang Selatan
PM014-Pomelo Jakarta Premium Outlet,Tangerang Selatan
PSPM1-Pomelo Popup Store JPO,Tangerang Selatan
W10-Pedro Mall Alam Sutera,Tangerang Selatan
W19-Pedro AEON Mall BSD City,Tangerang Selatan
W42-Pedro Jakarta Premium Outlet,Tangerang Selatan
035-CK Plaza Ambarrukmo Yogyakarta,Yogyakarta
043-CK Pakuwon Mall Yogya,Yogyakarta
PM009-Pomelo Plaza Ambarrukmo Yogyakarta,Yogyakarta
W21-Pedro Pakuwon Mall Yogya,Yogyakarta
W34-Pedro Plaza Ambarukmo,Yogyakarta
